"my.strains","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"BY4742",250,0.00577268118846379,64.9941653297156,8.03877008945341,0.10829849192994,26.728,9.84488206182507,0.368335904737544,0.0765768235990198,0.00779580740417399,-951.9,1908,2.87242670926177,29.9593139576457,-923.6,1851,1892.62456262982,"Weib"
"sir2",90,0.00283306341739114,16.2310058783531,7.70075088982169,0.412836452653766,14.1,3.51896946099504,0.24957230219823,0.290860306621362,0.00296623817604977,-244.7,493,4.51370792407455,15.4474133428284,-240.4,485,496.239685873591,"Weib"
"SIR2.ox",60,0.00271762674520849,64.3919198580026,7.91390563292453,0.107372254906689,36.3666666666667,10.9652249494523,0.301518559563307,0.0775083523484173,0.0032074782759597,-235.4,475,3.54463004079337,40.3704531717421,-228.6,461,473.065227082962,"bin<2"
"fob1",140,0.0027629497184218,65.3771140535487,7.69636489474557,0.102426743543019,37.2,12.5813611140454,0.338208632097995,0.0762144619228675,0.00298868202323048,-556.9,1118,3.31333208364544,41.5399890009099,-550.8,1106,1117.37354884901,"bin<2"
"hxk2",120,0.00491632449159898,94.1428909347642,7.80025912487871,0.0722333790407065,36.3916666666667,14.6432626165081,0.402379554380803,0.0530657107620425,0.00611681799958308,-499.9,1004,2.67586204985064,41.034718707821,-488.1,980,1000.36411291814,"Weib"
"fob1.hxk2",160,0.00616633882313019,129.591766224993,6.02310906731951,0.0387610201916574,49.05625,22.0266410663693,0.449007844390252,0.0385824355486204,0.00455094605629431,-720,1444,2.39750557884675,55.3409541368895,-718.2,1440,1452.58706223936,"Weib"
