"my.strains","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"fig1b.BY4742",250,0.00344399189825415,49.1048674736505,8.27036108524549,0.14805784964488,26.532,8.14828535440846,0.307111614443256,0.100454716817348,0.00500473929171829,-908,1820,3.46906615862827,29.4380558989987,-880.7,1765,1800.75565479711,"Weib"
"fig2b.sir2",90,0.00276405504152172,15.0710900026141,7.94315908213592,0.460693890152049,13.0444444444444,3.41151754137087,0.26153030555654,0.308598469337695,0.00338950632253646,-239.5,483,4.39877863926113,14.313197462214,-236.9,478,484.856423170295,"bin<2"
"fig4b.by4742.SIR2.ox.2glucose",60,0.00415788011656498,76.5703900000505,7.93670470125528,0.090592521485795,34.15,12.1541302179931,0.355904252357044,0.0652109802505671,0.00528348262417288,-241,486,2.99736888621935,38.3089690688104,-233.4,471,484.203884922739,"bin<2"
"fig1b.fob1",140,0.00284987126096956,68.3580180031651,7.74094583759376,0.0986123652280503,37.7071428571429,12.8177577072324,0.339929168216051,0.072916973875863,0.0031797072638941,-560.2,1124,3.29409579620817,42.0914365385273,-553.7,1111,1122.78468362311,"bin<2"
"fig1b.hxk2",120,0.00448443970781296,94.7055616459872,7.79784413771283,0.0717787215403824,38.05,14.9373200210669,0.392570828411744,0.0527491672227883,0.00553355973140007,-502.8,1010,2.74289053857241,42.859571361747,-490.9,986,1005.96499823555,"Weib"
"fig1b.fob1.hxk2",160,0.00579346198630494,123.065098765602,6.02317927166957,0.0408172529990574,49.2625,21.6191993347167,0.43885712935228,0.0406285640094939,0.00417045843920744,-716.5,1437,2.47049699318491,55.5559896398844,-715.6,1435,1447.00144493235,"Weib"
