Confirmed Load of Data File: M8.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00008        0.20765        0.00002        0.17111        0.00033        0.25200        -183.33423     0              
Line2          0.00010        0.10000        0.00031        0.16213        0.00009        0.13187        0.00105        0.19934        -198.52658     0              
Line3          0.00010        0.10000        0.00044        0.14991        0.00015        0.12271        0.00133        0.18313        -200.76116     0              
Line4          0.00010        0.10000        0.00062        0.14523        0.00022        0.11903        0.00172        0.17718        -202.53466     0              
Line5          0.00010        0.10000        0.00054        0.15838        0.00019        0.13087        0.00150        0.19167        -196.01990     0              
Line6          0.00010        0.10000        0.00053        0.15523        0.00018        0.12700        0.00155        0.18974        -199.38724     0              
Line7          0.00010        0.10000        0.00025        0.17551        0.00007        0.14245        0.00091        0.21624        -194.36324     0              
Line8          0.00010        0.10000        0.00027        0.16726        0.00008        0.13708        0.00091        0.20407        -195.36810     0              
Line9          0.00010        0.10000        0.00022        0.17330        0.00006        0.14219        0.00076        0.21122        -193.48375     0              
Line10         0.00010        0.10000        0.00065        0.14387        0.00024        0.11784        0.00180        0.17565        -203.09841     0              
Line11         0.00010        0.10000        0.00066        0.13923        0.00024        0.11350        0.00184        0.17078        -205.54086     0              
Line12         0.00010        0.10000        0.00050        0.14908        0.00017        0.12145        0.00149        0.18299        -201.75624     0              
Line13         0.00010        0.10000        0.00035        0.16238        0.00011        0.13343        0.00109        0.19762        -196.41682     0              
Line14         0.00010        0.10000        0.00011        0.19814        0.00003        0.16151        0.00046        0.24308        -187.57053     0              
Line15         0.00010        0.10000        0.00011        0.19697        0.00003        0.16027        0.00047        0.24207        -188.36451     0              
Line16         0.00010        0.10000        0.00017        0.17511        0.00005        0.14371        0.00061        0.21338        -192.80368     0              
Line17         0.00010        0.10000        0.00029        0.16950        0.00008        0.13810        0.00098        0.20803        -195.72176     0              
Line18         0.00010        0.10000        0.00024        0.16597        0.00007        0.13509        0.00085        0.20391        -197.58387     0              
Line19         0.00010        0.10000        0.00030        0.16076        0.00009        0.13104        0.00099        0.19722        -199.03642     0              
Line20         0.00010        0.10000        0.00058        0.14609        0.00020        0.11937        0.00165        0.17879        -202.63108     0              
Line21         0.00010        0.10000        0.00010        0.20351        0.00002        0.16771        0.00040        0.24694        -183.69379     0              
Line22         0.00010        0.10000        0.00040        0.14902        0.00013        0.12214        0.00120        0.18181        -201.90847     0              
Line23         0.00010        0.10000        0.00075        0.13527        0.00027        0.10928        0.00210        0.16743        -208.14487     0              
Line24         0.00010        0.10000        0.00073        0.14184        0.00026        0.11544        0.00201        0.17426        -204.41619     0              
Line25         0.00010        0.10000        0.00048        0.15034        0.00016        0.12292        0.00142        0.18388        -200.43490     0              
Line26         0.00010        0.10000        0.00034        0.15909        0.00011        0.13026        0.00106        0.19431        -198.33953     0              
Line27         0.00010        0.10000        0.00021        0.17383        0.00006        0.14243        0.00074        0.21216        -193.85645     0              
Line28         0.00010        0.10000        0.00022        0.17216        0.00006        0.14087        0.00076        0.21041        -194.76752     0              
Line29         0.00010        0.10000        0.00095        0.13304        0.00037        0.10852        0.00244        0.16312        -207.10953     0              
Line30         0.00010        0.10000        0.00037        0.16180        0.00011        0.13199        0.00117        0.19836        -198.14347     0              
Line31         0.00010        0.10000        0.00029        0.16563        0.00009        0.13573        0.00095        0.20212        -195.84372     0              
Line32         0.00010        0.10000        0.00031        0.17023        0.00009        0.13948        0.00100        0.20776        -194.05798     0              
Line33         0.00010        0.10000        0.00056        0.14752        0.00020        0.12054        0.00161        0.18053        -202.11000     0              
Line34         0.00010        0.10000        0.00043        0.15615        0.00014        0.12827        0.00129        0.19009        -198.36087     0              
Line35         0.00010        0.10000        0.00031        0.16585        0.00010        0.13576        0.00101        0.20260        -195.86881     0              
Line36         0.00010        0.10000        0.00041        0.15040        0.00013        0.12294        0.00124        0.18400        -201.72527     0              
Line37         0.00010        0.10000        0.00030        0.16925        0.00010        0.13991        0.00094        0.20473        -193.09118     0              
Line38         0.00010        0.10000        0.00016        0.18106        0.00004        0.14862        0.00061        0.22059        -191.31359     0              
Line39         0.00010        0.10000        0.00028        0.16449        0.00008        0.13420        0.00095        0.20161        -197.80281     0              
Line40         0.00010        0.10000        0.00030        0.16578        0.00009        0.13582        0.00098        0.20234        -195.85344     0              
Line41         0.00010        0.10000        0.00031        0.16142        0.00010        0.13214        0.00102        0.19717        -197.99389     0              
Line42         0.00010        0.10000        0.00046        0.15743        0.00015        0.12774        0.00144        0.19402        -199.69258     0              
Line43         0.00010        0.10000        0.00040        0.15587        0.00013        0.12604        0.00131        0.19276        -201.98920     0              
Line44         0.00010        0.10000        0.00032        0.15787        0.00010        0.12896        0.00103        0.19327        -199.03871     0              
Line45         0.00010        0.10000        0.00050        0.15121        0.00017        0.12358        0.00147        0.18503        -200.51346     0              
Line46         0.00010        0.10000        0.00028        0.16578        0.00008        0.13491        0.00096        0.20373        -197.42345     0              
Line47         0.00010        0.10000        0.00034        0.16219        0.00011        0.13305        0.00108        0.19771        -196.76955     0              
Line48         0.00010        0.10000        0.00036        0.16247        0.00012        0.13419        0.00109        0.19670        -195.33078     0              
Line49         0.00010        0.10000        0.00059        0.14769        0.00020        0.11920        0.00178        0.18300        -204.33063     0              
Line50         0.00010        0.10000        0.00026        0.16537        0.00008        0.13514        0.00089        0.20236        -196.95598     0              
Line51         0.00010        0.10000        0.00015        0.17662        0.00004        0.14495        0.00055        0.21520        -192.52347     0              
Line52         0.00010        0.10000        0.00040        0.14564        0.00013        0.11791        0.00127        0.17989        -205.19441     0              
Line53         0.00010        0.10000        0.00047        0.15135        0.00016        0.12339        0.00144        0.18566        -200.60006     0              
Line54         0.00010        0.10000        0.00072        0.14275        0.00027        0.11762        0.00189        0.17324        -201.76943     0              
Line55         0.00010        0.10000        0.00031        0.16663        0.00009        0.13485        0.00108        0.20590        -197.80638     0              
Line56         0.00010        0.10000        0.00022        0.17643        0.00006        0.14449        0.00077        0.21542        -192.01899     0              
Line57         0.00010        0.10000        0.00032        0.16392        0.00010        0.13412        0.00104        0.20033        -196.61768     0              
Line58         0.00010        0.10000        0.00031        0.16023        0.00009        0.13064        0.00101        0.19653        -199.00264     0              
Line59         0.00010        0.10000        0.00060        0.14645        0.00021        0.11956        0.00171        0.17937        -202.65761     0              
Line60         0.00010        0.10000        0.00021        0.18011        0.00006        0.14632        0.00078        0.22169        -193.38070     0              
