"strains","avgLS","avgLSstd","R","Rstd","t0","t0std","n","nstd","GompRFlex","GompRFlexstd","GompGFlex","GompGFlexstd","WeibAICFlex","WeibAICFlexstd","GompAICFlex","GompAICFlexstd","BinomialAIC","BinomialAICstd"
"101S",31.4582352941176,0.814565208976939,0.00250545083065613,0.000928740464469592,35.9960386492447,5.47971329214698,6.68656676945026,0.697483110919875,0.00118860135932573,0.000626340666482717,0.141837957323331,0.0238002000611774,582.72,16.946189345494,589.2,20.1032687427049,608.561975342201,12.3696101979684
"M1-2",27.8988888888889,1.29046956193903,0.00338915543335383,0.00099805785426788,40.4785839124292,5.27695501056898,7.07770586692127,0.760288143670664,0.00256368285771223,0.00117342319907113,0.125350894743436,0.0170749126209237,393.19,10.509923160922,389.76,10.1116194788396,397.274682564746,6.95658263426432
"M13",26.5987142857143,1.0640701525891,0.00341825097398073,0.000945994367143283,40.8020141220917,4.19525470850232,7.36415178817456,0.639662219934295,0.00303811564925702,0.00109610582953551,0.123253122035857,0.0120760186041385,520.85,18.1316036385382,504,10.1970484935494,510.826191224281,8.61439979154612
"M14",36.3241666666667,1.62136994181325,0.00348425490462338,0.00100144013022932,55.0655639439481,6.60403662171606,6.55804369091114,0.637251896171568,0.00212703438909211,0.000929164043429556,0.0919814254740766,0.0106878434657762,476.9,8.55227537801573,470.91,8.85927579866253,480.80958316057,6.32998662136798
"M2-8",24.7674285714286,0.733405392410501,0.00340903517261141,0.000634455981110464,42.3520881619277,3.98951285776412,7.99870205290311,0.109136042032793,0.00433524445283302,0.00103856332856739,0.118126576413405,0.0109548564955018,738.35,14.9195654877558,748.01,13.635585499684,746.639463437649,13.4005543033565
"M22",32.0705,1.35925529018035,0.0033117741155671,0.00104047334548187,46.3159411115552,11.8374604328336,6.87367567713262,1.50753157125085,0.00201528442121949,0.000732838903997389,0.111509134922556,0.0105515299759796,449.76,9.86793603628244,447.31,8.14352937657075,456.564501957969,6.90067655292901
"M32",28.1478333333333,0.9733216150533,0.00269847500028543,0.00111949642431823,34.3236651463952,2.58614393287197,7.03992067140977,0.714360321120973,0.00157251131883444,0.000462128152187963,0.145668192713966,0.0110906302115344,402.89,10.3210043752113,411.68,8.67351710610517,419.476593020872,9.47929046904059
"M34",27.0210344827586,0.996973464456926,0.00276263005558607,0.00073626793054888,31.4414459492943,3.54411411479794,6.67733396909203,0.615975740558242,0.00134420404439897,0.000698004397445544,0.160489619353169,0.0179844647144962,408.27,14.105558042019,397.81,10.9264714239217,411.898806691336,7.42539844820965
"M5",36.8528915662651,0.942228456227925,0.00343402965661154,0.000591644734528221,73.9902821301351,7.21986639341284,7.76191723269354,0.381319169174661,0.0040096710131423,0.000852189937478316,0.0680390849159613,0.0067901202512045,1321.34,14.3197398543042,1343.21,17.2288781533866,1339.606797039,14.5832418291011
"M8",34.7888333333333,0.969049816933688,0.00182878553158693,0.000348494601717972,30.6549573054864,2.91983150569012,6.07731532826761,0.207186439985509,0.000359037734066102,0.000183347199844125,0.164531601851999,0.0159448527400224,401.29,10.710416906126,404.45,10.6033871089298,431.771248386708,5.99249431866787
"RM112N",44.1308474576271,1.75062042831182,0.00252778938656069,0.000646348770413861,55.448629350056,5.98625998952503,6.2022578516824,0.374611077459195,0.0010544095686385,0.000466064269299005,0.0912133756157669,0.0100344254626527,470.48,11.3533513051691,466.79,10.270380084043,481.522788636871,6.92124203068123
"S288c",26.3639024390244,1.5006540495359,0.00507769557010458,0.00167111538398274,56.7764604674022,12.9229734697667,7.88561315390149,1.34147375986766,0.00620743682147307,0.00201884259690225,0.0910105763350757,0.0157911003376607,309.61,9.3148030336425,310.8,8.29871597710675,312.08300112196,8.13292410139787
"SGU57",23.8984482758621,1.31903271900432,0.00651954173596827,0.00211722016685797,58.0355082352288,19.6511353107857,7.87993973317542,1.50467104289654,0.00770705298207087,0.00233632745871214,0.0913166366676407,0.0114850713748785,439.51,8.84032884803581,435.81,7.10767830652815,438.373465227523,7.38152918781394
"YPS128",35.0801449275362,1.12454398484142,0.00261347293262632,0.000775403667156375,41.9010451438957,3.88804578915035,6.47575837225664,0.486311969875166,0.0011318327071322,0.000451027360213772,0.120136553102652,0.0113838268850721,507.62,12.5503269706692,506.89,11.3812667275322,522.33978597866,8.70939043661555
"YPS163",34.4144615384615,0.698924846936475,0.0022964497066703,0.000480492859106503,37.2593870942242,2.62420925948868,6.40445140250559,0.428038923566375,0.000811892281734934,0.00022979265170038,0.134428018673903,0.0100008193967308,923.64,14.9656306586158,922.83,15.0668912560359,957.146573273496,10.4277412830427
