rls
23
38
29
30
19
30
21
29
12
22
27
23
18
15
27
31
19
2
26
26
48
12
53
30
31
13
31
30
37
25
27
40
47
31
33
26
19
42
27
31
33
28
36
31
40
23
26
34
39
13
18
30
42
16
40
18
22
22
30
26
23
33
14
21
24
16
20
27
25
19
24
29
23
26
20
31
36
28
23
25
12
50
12
19
15
11
14
20
51
21
23
19
29
16
23
23
20
27
30
31
13
23
34
1
20
28
18
33
15
14
1
28
22
44
13
20
20
11
17
40
