"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.0030235990546194,50.89437150648,8.06790929056296,0.138874085313404,"rls/101S.csv",29.2470588235294,9.30297684353027,0.318082474537439,0.0978166440703482,0.00383478601847401,-314.7,633,3.49423878026467,32.4708418272238,-309.6,623,631.236861318959,"bin<2"
"M1-2",54,0.00331233122218634,45.8548053355482,7.85903513635534,0.149581599707239,"rls/M1-2.csv",26.6296296296296,9.39750327399602,0.35289650681209,0.10866594276719,0.00391961790688995,-197,398,3.20696035484364,29.7492786212339,-196.7,397,399.727168132487,"bin<2"
"M13",70,0.00511635264156675,52.8461277561641,7.68460736488473,0.126491904870079,"rls/M13.csv",25.2,10.9075163554073,0.432837950611402,0.0943894097635411,0.00599568777719935,-261.7,527,2.27210877983004,27.8895963140374,-272.9,550,531.112080835301,"Gomp"
"M14",60,0.00276708792547235,44.0852442217237,6.02643311975639,0.114016224895484,"rls/M14.csv",37.7833333333333,11.504003233461,0.304472957215553,0.113406231907961,0.000880935853081675,-225,454,4.0806061686172,41.780029152883,-229.5,463,471.65633480507,"Gomp"
"M2-8",105,0.00305633764552926,39.979035265549,8.03982526446514,0.176087922525023,"rls/M2-8.csv",24.7333333333333,7.59588282541509,0.307111165448049,0.123891535739706,0.00382785041998361,-367.6,739,3.59595190929546,27.4400348447086,-361.4,727,737.018015226324,"bin<2"
"M22",60,0.0030683285901226,40.0848948754804,6.02908332006771,0.125460808508792,"rls/M22.csv",34.3,9.77423108077249,0.284963005270335,0.124719977195016,0.00100088586538054,-217.7,439,4.28744469391035,37.8141151555076,-219.8,444,456.703539788556,"Gomp"
"M32",60,0.00210943256603749,36.9643544240622,7.4137455121922,0.17351163335933,"rls/M32.csv",29.45,7.74689659022637,0.26305251579716,0.134411996620103,0.00156912469652345,-209.9,424,4.28824433609134,32.3827319578847,-207.5,419,428.633168617819,"Weib"
"M34",58,0.00203394012522082,24.5710034544101,6.0235145541729,0.204448896989238,"rls/M34.csv",28.3275862068966,7.04219844818833,0.248598606205066,0.203419414195465,0.000352516789743087,-184.9,374,5.24531672521319,30.659218247065,-193.3,391,401.710905038715,"Gomp"
"M5",166,0.00278513295765488,69.0026202653622,7.80395339154145,0.0986042756836713,"rls/M5.csv",38.1987951807229,12.2890539515644,0.321713129783898,0.0721854566684267,0.0031638011249701,-663.8,1332,3.39822725133309,42.5275213763574,-650.9,1306,1326.29114343802,"Weib"
"M8",60,0.00186464055796326,31.6945352275607,6.02157593694768,0.158436648491411,"rls/M8.csv",35.5833333333333,8.02599941855634,0.225555018788469,0.157724416640149,0.000326092857261628,-205,414,5.62709405185938,38.5968263894117,-206.7,417,440.657909908598,"Gomp"
"RM112N",59,0.00163846339605748,42.6481193178836,6.01784551421,0.117656900104054,"rls/RM112N.csv",44.8983050847458,10.0080914079287,0.222905773147525,0.117228622180115,0.000354643639698153,-217.2,438,5.44583440245242,48.6829530616196,-217.5,439,462.521516642679,"Gomp"
"S288c",41,0.00640248949463703,67.1393232594457,7.66948700035553,0.0993380135004149,"rls/S288c.csv",26.7073170731707,12.0046738865307,0.449490072463705,0.0743596513210629,0.0077472349695542,-158.9,322,2.37626511299276,30.0161839156165,-159.7,323,323.53392642216,"bin<2"
"SGU57",58,0.00463018508845184,48.9973282550228,7.8587606540505,0.13998233981967,"rls/SGU57.csv",24.551724137931,9.77496338897995,0.398137553764633,0.101734756852222,0.00572046960740103,-212.6,429,2.75431543111111,27.4822387368465,-214.9,434,431.293991005593,"Gomp"
"YPS128",69,0.00412185595527552,45.805493579364,6.03332941557702,0.109884841800823,"rls/YPS128.csv",33.304347826087,9.91330708134286,0.29765804552335,0.109146329119031,0.00176762252139201,-255.5,515,3.90150162663861,36.8595298715576,-254.7,513,529.526227620809,"Weib"
"YPS163",130,0.00263653340325632,35.6581272088697,6.02725350671156,0.140984788047451,"rls/YPS163.csv",33.9307692307692,8.63397692510421,0.254458626221616,0.140170071713911,0.000692813975929348,-457.4,919,4.78996903065348,37.1418227555194,-460.4,925,960.542745715982,"Gomp"
