"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00237625124068889,29.8290605082166,6.02589733634101,0.168489964172911,"rls/101S.csv",31.2823529411765,6.56580565670114,0.209888484700864,0.167561884920628,0.000531818058885743,-280.3,565,5.5965879513189,33.8011317828577,-278.7,561,599.087444752327,"Gomp"
"M1-2",54,0.00385887988703166,49.6741348412104,7.52316106891912,0.131319067554397,"rls/M1-2.csv",27.462962962963,11.2731321307052,0.410484919122105,0.100415340422833,0.00404035942874954,-202.7,409,2.7391476115393,30.8394639168011,-207.1,418,414.013115193883,"Gomp"
"M13",70,0.00345883222589728,44.7672663564756,7.82908398112615,0.152546370080922,"rls/M13.csv",26.0142857142857,9.43089719730683,0.362527624278681,0.111238794895961,0.00400039041993813,-253.9,512,2.81935054564422,28.6608881003223,-263.2,530,514.482873388878,"Gomp"
"M14",60,0.0039285792006159,57.3155237416116,6.02965931759786,0.0877538752026841,"rls/M14.csv",38.5833333333333,13.2156708040969,0.342522785419359,0.0872326130794823,0.00182988032462935,-236.3,477,3.42271558715033,42.9969530952159,-238.9,482,488.445383090741,"Gomp"
"M2-8",105,0.00355272366862384,43.9923084871675,8.12691702490145,0.162003706329264,"rls/M2-8.csv",24.5619047619048,7.83228502064938,0.318879382383941,0.112859315541374,0.00485482144819356,-373.4,751,3.39914820365345,27.3295833903814,-364.6,733,746.642966151849,"Binom"
"M22",60,0.00446916982855938,45.1287384378338,6.03535446004956,0.111577558654468,"rls/M22.csv",31.9666666666667,9.85138150282103,0.308176689347894,0.110784058879457,0.00197621804960356,-221.1,446,3.78464808602648,35.433463834541,-221.1,446,458.727441834125,"Gomp"
"M32",60,0.00172897936063218,33.1047050825326,7.75887369812012,0.204166558236049,"rls/M32.csv",27.2,6.20497340165566,0.228124022119693,0.14950644867573,0.00162633088441187,-201.3,407,4.66801401643834,29.6792868124376,-195.8,396,408.418763801694,"Gomp"
"M34",58,0.00339399696565805,29.7802098074087,6.03220943824685,0.168978307096915,"rls/M34.csv",26.9827586206897,7.68797507003996,0.284921759784229,0.167853965965177,0.00102444339159417,-194.6,393,4.39517089430878,29.6995567761647,-198.2,400,411.567571756885,"Gomp"
"M5",166,0.00310757990467046,72.1106930316767,7.89370435905525,0.0955989197888723,"rls/M5.csv",37.0481927710843,12.5832053674805,0.339644242439311,0.0691122739813168,0.00378092311294489,-666.9,1338,3.22204797738066,41.3802339459378,-653.9,1312,1331.57361351468,"Binom"
"M8",60,0.00130765758095086,26.4689623993038,6.01624961942409,0.189514403464339,"rls/M8.csv",35.3,6.35476599470489,0.180021699566711,0.18885266175985,0.000136476483644316,-194,392,6.76765066468884,37.876484847269,-193.8,392,425.394691476809,"Gomp"
"RM112N",59,0.00379128849527155,64.6822289347891,6.02769171339735,0.0777291042098462,"rls/RM112N.csv",42.1186440677966,14.783593825779,0.350998807131171,0.0772986881291077,0.0018313275763862,-238.8,482,3.33999102223535,46.999937438565,-241.5,487,492.943317925785,"Gomp"
"S288c",41,0.00377205875003063,59.0129810718963,7.75877487967319,0.114530307686692,"rls/S288c.csv",30.3170731707317,11.6112855110669,0.382994936406873,0.0845581477248834,0.00443615552579674,-158,320,2.87365062785473,33.8980036909332,-158.7,321,321.77685215305,"Gomp"
"SGU57",58,0.00673370985339894,54.9109888710997,7.63120202877718,0.120762750136289,"rls/SGU57.csv",23.1896551724138,10.7987278272038,0.465670047567152,0.0908597891409861,0.00797353618577767,-216,436,2.28171754701816,26.0602946075301,-220.4,445,439.45305593628,"Gomp"
"YPS128",69,0.00205796928930357,41.7552539727365,6.96051768663909,0.142748926650786,"rls/YPS128.csv",34.768115942029,9.70770604685999,0.279212887550371,0.119256030867812,0.00111399539391214,-252.1,508,4.2638079944088,38.2925833487366,-252.9,510,518.92210282859,"Gomp"
"YPS163",130,0.00325285991970495,41.2057261058703,6.02987237186568,0.122067315570229,"rls/YPS163.csv",34.3615384615385,8.69999897189145,0.253190030522921,0.121311877947625,0.00115927045973499,-466.9,938,4.59382153632014,37.5873954181206,-463.6,931,972.89944281918,"Gomp"
