"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00199664704901651,27.7857868272134,6.02274172316868,0.180766582368271,"rls/101S.csv",31.3058823529412,6.50095877436509,0.207659337024063,0.179877974029672,0.00037466980675928,-276.9,558,5.83662639129728,33.8337346592928,-276.6,557,595.025116388619,"Gomp"
"M1-2",54,0.00272463333954881,39.0838219933581,7.45268113125287,0.165098519084173,"rls/M1-2.csv",27.037037037037,9.68165540765445,0.358088624666671,0.127396503039257,0.00240928175098699,-193.5,391,3.31189556304624,30.1573374360472,-198.4,401,397.285321755586,"Gomp"
"M13",70,0.00261575572441822,40.3007267008827,7.55881929338788,0.162746923698629,"rls/M13.csv",27.8857142857143,9.15335189598199,0.328245201187879,0.12338389858748,0.00242125510266616,-250.8,506,3.26960512180139,30.6813834434854,-259.3,523,510.64933612572,"Gomp"
"M14",60,0.00213570723552588,49.8240404607321,6.9795490531433,0.120013330870987,"rls/M14.csv",38.3166666666667,11.6727869338158,0.304639937376662,0.100123163136454,0.00128274744173103,-229.3,463,3.92317195845387,42.4313968859125,-230.9,466,471.203193602385,"Gomp"
"M2-8",105,0.0038007740472523,45.3695547833206,8.12468252187323,0.157036641772216,"rls/M2-8.csv",24.5238095238095,8.39882688476748,0.342476436077897,0.109522202753564,0.0051356443660032,-376.5,757,3.19848254646783,27.3152728414832,-372.6,749,754.652876672401,"Binom"
"M22",60,0.00199832137452472,39.782468614013,7.08054580544172,0.152844858986451,"rls/M22.csv",32.8166666666667,9.55890155143657,0.291281916244893,0.125431351296499,0.00119842979148037,-216.6,437,4.13208262927962,36.1806874251609,-219.1,442,446.430126746795,"Gomp"
"M32",60,0.00132319186538155,30.6302297944053,7.54805690137486,0.2137775963591,"rls/M32.csv",28.6666666666667,6.09436156934039,0.212594008232804,0.16125405067165,0.000972852328289336,-198.8,402,5.09660446336828,31.1492741421447,-194.5,393,407.101396240889,"Gomp"
"M34",58,0.00283795055578655,28.7022235889657,6.0295911994149,0.175233503558535,"rls/M34.csv",28.2586206896552,6.96749431370376,0.246561726781463,0.17415373313569,0.000727287997452708,-191.7,387,4.9400805509494,30.8595243218153,-192.8,390,407.748641729038,"Gomp"
"M5",166,0.00366249903474806,80.9772423434125,7.90610688091224,0.0852845402122298,"rls/M5.csv",37.3192771084337,13.5069181630059,0.361928719137851,0.0616104338074482,0.00457150720738959,-678.7,1361,3.00338519595654,41.8189433508379,-665.1,1334,1354.72413589099,"Binom"
"M8",60,0.001569251406604,28.8387373158472,6.01908876322165,0.174039823874799,"rls/M8.csv",35.9666666666667,6.84196093079543,0.190230609753348,0.173336936593041,0.000196068747695639,-198.2,400,6.42054584291117,38.6652508528207,-198,400,432.288027417653,"Gomp"
"RM112N",59,0.00218869515719632,64.8807341729047,7.37545730101108,0.0982642595261133,"rls/RM112N.csv",41.4406779661017,13.5637335751612,0.327304818378122,0.0769805637600142,0.00201308223445167,-237.1,478,3.49253975132507,46.0912923606816,-236.6,477,481.413123625367,"Gomp"
"S288c",41,0.00449519672657342,52.3327298537067,7.87744551945034,0.13141767185996,"rls/S288c.csv",25.7317073170732,9.6799390241982,0.376187203784006,0.0952811590283264,0.00575272604626602,-152,308,2.96324463714307,28.897205774342,-150,304,308.827690901807,"Gomp"
"SGU57",58,0.00533549438575753,49.1704027186981,7.94654749414754,0.141274976613238,"rls/SGU57.csv",23.1724137931034,9.04596048459915,0.390376270912761,0.101359491709745,0.00689244052488635,-210.5,425,2.83575649591006,26.0348020298008,-208.8,422,425.587891636901,"Gomp"
"YPS128",69,0.0024702707234092,47.362241042341,7.51278265208259,0.137510018714281,"rls/YPS128.csv",32.2463768115942,10.0270308154295,0.310950618545902,0.105168893806803,0.00221448764948307,-256.8,518,3.70246247425229,35.7957875482329,-255.6,515,521.142222315529,"Gomp"
"YPS163",130,0.00186461164394434,36.6241408329808,6.78452674034857,0.157943001768371,"rls/YPS163.csv",34.3692307692308,8.28572926671011,0.241079857804905,0.135247229618335,0.000774356282723099,-457,918,4.93059871620329,37.4740625859905,-456.2,916,945.448606954345,"Gomp"
