"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00219626294618996,34.3186116461303,7.07627271616486,0.177054735745699,"rls/101S.csv",28.9058823529412,8.50437356587181,0.294209097720433,0.144482855902708,0.00128385330938346,-295.9,596,4.1556907429726,31.9169730674177,-299.8,604,608.814784373867,"Gomp"
"M1-2",54,0.00476968389640093,36.9979228072443,6.03955570925619,0.136211855338793,"rls/M1-2.csv",27.6111111111111,8.14356249210952,0.29493787697781,0.135122864564394,0.00198395305542512,-188.6,381,3.98197702572193,30.4953966827388,-188.7,381,393.802565393099,"Gomp"
"M13",70,0.00380820238948598,45.0226777484293,7.70307756504326,0.148882250018483,"rls/M13.csv",25.4142857142857,10.1631514813628,0.399899158906911,0.110671053967006,0.00424687770010893,-255.4,515,2.49042499712661,28.0210998375433,-269.5,543,519.868046042032,"Gomp"
"M14",60,0.00490801580019418,61.4231575877075,6.03169840925565,0.0819185891261089,"rls/M14.csv",36.3333333333333,13.8572219030387,0.381391428524002,0.0813998574771609,0.0026498434120007,-238.5,481,3.02356726038003,40.7354903190719,-241.8,488,491.103397455805,"Gomp"
"M2-8",105,0.00411134142671849,46.7277876696253,8.02221810049854,0.150279276009106,"rls/M2-8.csv",24.6095238095238,8.59728852391089,0.349348024384924,0.106190482084957,0.00538299986461144,-379.2,762,3.13439632514902,27.4815328983663,-374.3,753,760.317284543118,"Binom"
"M22",60,0.00431671082689527,43.6474730560194,6.03466253194525,0.115348316395854,"rls/M22.csv",31.3666666666667,10.5572959215483,0.336576915671042,0.114543167992069,0.00186565862973852,-221.5,447,3.50738023969557,34.8639044590073,-225.8,456,460.383792958454,"Gomp"
"M32",60,0.00197628308573964,31.0154792854364,7.46109182528383,0.208318296996871,"rls/M32.csv",26.8666666666667,5.90738310432318,0.219877783039324,0.159561947595495,0.0013877733479382,-197.6,399,4.88086219373403,29.2008974558034,-192.8,390,404.454433549391,"Gomp"
"M34",58,0.00451050711888363,36.6897465820394,6.03759306934069,0.137302476540046,"rls/M34.csv",27.4310344827586,9.6338439777829,0.351202357455316,0.136257504049345,0.00184909602170101,-206.2,416,3.38045898429288,30.514946705748,-213.4,431,430.769478936954,"Gomp"
"M5",166,0.00342590823352451,83.3187518199707,7.95979792603522,0.0835321914216078,"rls/M5.csv",38.9819277108434,13.3259704935416,0.341849961664026,0.0598775432196723,0.00432282038833829,-682.2,1368,3.12574674927832,43.5405544978439,-664.3,1333,1359.01453859574,"Binom"
"M8",60,0.00200256883422382,31.2515797603489,6.02236753942312,0.160707637115848,"rls/M8.csv",34.1166666666667,6.61301148524292,0.193835216958757,0.159958667269786,0.000408570204433623,-200.7,405,5.84484517283696,36.7957612277416,-198.2,400,431.214367302716,"Gomp"
"RM112N",59,0.00247357139150993,56.0435600416795,6.02230649708124,0.0896143373716116,"rls/RM112N.csv",45.7457627118644,13.6843646247863,0.299139500875284,0.089212365456603,0.00088116592765115,-233.2,470,4.04279930140857,50.4427609700763,-236.8,478,486.805129692763,"Gomp"
"S288c",41,0.00509555561555091,58.6317667510836,7.9112758127078,0.117875960348407,"rls/S288c.csv",26.2682926829268,10.6090159539985,0.403871545138291,0.0850865758206674,0.00660397525565318,-155.2,314,2.69917795901135,29.5007900619886,-154.3,313,315.510602738878,"Gomp"
"SGU57",58,0.00820762394675567,59.3214168599967,7.56365270759161,0.11064558223689,"rls/SGU57.csv",22.6379310344828,10.5725534698271,0.467028256854511,0.0841335162513047,0.00963791451389517,-216.8,438,2.30126426449511,25.5344389059264,-217.6,439,439.784905578139,"Gomp"
"YPS128",69,0.00406857542282827,45.3281809340192,6.03301241730385,0.111034952508463,"rls/YPS128.csv",33.0869565217391,10.2494463701773,0.309773017758315,0.110295528067925,0.00173422688972896,-255.8,516,3.81392615588983,36.6989411423365,-256.7,517,530.574018399748,"Gomp"
"YPS163",130,0.00312343374474841,39.5001740658474,6.02982962644129,0.12733689775788,"rls/YPS163.csv",34.0230769230769,8.36981044547974,0.24600392446583,0.126545673340541,0.00104652730602466,-462.4,929,4.7247194483702,37.1860436248024,-458.4,921,965.455852661065,"Gomp"
