"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.0018969269632114,40.4970062827891,7.52102870273439,0.161024957183212,"rls/101S.csv",32.8,6.8813066311843,0.20979593387757,0.122454719961077,0.00146043742938416,-298.6,601,4.8484579568745,35.5519031318368,-288.2,580,604.830238695697,"Gomp"
"M1-2",54,0.00273414699311828,42.799746263189,7.87964519569285,0.160740326668943,"rls/M1-2.csv",27.3333333333333,8.38237143912128,0.30667212582151,0.116338790956323,0.00313128665057366,-193.7,391,3.65578377010306,30.3697749897109,-190.4,385,391.995985848945,"Gomp"
"M13",70,0.00397952457672685,46.0357827532341,7.94101825424652,0.150774415881066,"rls/M13.csv",24.6714285714286,9.35564841953226,0.379209837502755,0.108223295639054,0.0050314201576719,-253.5,511,2.70457939271185,27.2643305918231,-261.8,528,512.987305489746,"Gomp"
"M14",60,0.00395478131684539,52.9372870793497,6.0305389152019,0.0950282719940187,"rls/M14.csv",36.4666666666667,12.7431825132096,0.349447418095328,0.09444628780225,0.00179189689401941,-232.8,470,3.39050472484605,40.7083596496384,-236.4,477,482.14151882086,"Gomp"
"M2-8",105,0.00383239771334637,45.5391648676603,8.06631699093853,0.155170104929981,"rls/M2-8.csv",24.7428571428571,8.29970871989884,0.335438574129861,0.109129615785632,0.00503649771128416,-377,758,3.25442104253563,27.5901962888612,-370.5,745,755.359751825391,"Binom"
"M22",60,0.00328877290288168,38.4826857818118,6.03050546184195,0.130721267490627,"rls/M22.csv",32.3333333333333,9.05850413562533,0.280159921720371,0.129910815517662,0.00114028530652192,-214.6,433,4.29002879208084,35.6349039919588,-215.5,435,449.537780045236,"Gomp"
"M32",60,0.00174527085146476,34.9288055002283,7.86652531543545,0.196586319431695,"rls/M32.csv",27.8166666666667,6.14649318970366,0.220964404662804,0.141813019511945,0.00177182875220783,-203.5,411,4.60946897417733,30.32259750797,-196.5,397,411.084223063717,"Gomp"
"M34",58,0.00254019480004173,34.7830785551655,7.57072986505278,0.188905931791854,"rls/M34.csv",25.5344827586207,7.90783648022284,0.309692448246404,0.142779993453608,0.00226015549528047,-199.9,404,3.74207382303262,28.2383634894377,-201.9,408,408.40874398651,"Gomp"
"M5",166,0.0033849648199852,80.7441523925951,7.93039171520891,0.0858314999891494,"rls/M5.csv",38.3493975903614,13.4852860195415,0.351642708018206,0.0617783810810892,0.00424053653572562,-679.6,1363,3.0869729787816,42.8939300211471,-665.5,1335,1355.75806290201,"Binom"
"M8",60,0.00162217803985432,28.645897181304,6.01971608839505,0.175233334694478,"rls/M8.csv",35.65,6.13084726082727,0.171973275198521,0.174501865729549,0.000204808890128294,-196.3,397,6.57385937190506,38.2266148195073,-194,392,428.630419136384,"Gomp"
"RM112N",59,0.00272356158673377,54.3175516159678,6.02383547699387,0.0924900944083976,"rls/RM112N.csv",43.0508474576271,13.2748449290424,0.30835269717067,0.0920468245706773,0.00102276881449639,-231.4,467,3.90354401286341,47.5844601664228,-235,474,482.282196435439,"Gomp"
"S288c",41,0.00283769675988264,43.2232822990617,8.08084752106855,0.163820217818633,"rls/S288c.csv",26.9024390243902,7.53593019490222,0.28012070534088,0.115181401156308,0.00350862573040686,-145.7,295,3.78798560649573,29.7085941817439,-141.2,286,294.711873872484,"Binom"
"SGU57",58,0.00581638187977502,52.1646862681771,7.74342647731163,0.129271868762785,"rls/SGU57.csv",23.4310344827586,10.13611238837,0.432593464698645,0.0956042961020003,0.00719198355636548,-214.3,433,2.54108807382856,26.4138869585761,-215.3,435,435.100216087189,"Gomp"
"YPS128",69,0.00194536149981023,39.7232047427373,6.8705965688917,0.147787586800006,"rls/YPS128.csv",35.1159420289855,8.92540365191015,0.254169563343706,0.125313378289467,0.000915820165619747,-248.1,500,4.63261842035871,38.4593173676812,-247.3,499,512.752513615445,"Gomp"
"YPS163",130,0.00247170014963605,36.4278705938197,6.02534456937846,0.137953289266133,"rls/YPS163.csv",34.8923076923077,8.73223215187296,0.250262385305001,0.137213251230224,0.000664263772682124,-458.8,922,4.90366172925106,38.1308373905586,-461.4,927,964.813988000982,"Gomp"
