"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00165834457668504,26.4790464184857,6.01961833644777,0.18956945265761,"rls/101S.csv",32.1764705882353,6.83857488389043,0.212533405897874,0.188753556053149,0.000245675204504084,-275.2,554,6.06751574801731,34.7170679828897,-278.5,561,596.359902850521,"Gomp"
"M1-2",54,0.00588411885957815,41.5154684782427,6.04176709875788,0.121443097803416,"rls/M1-2.csv",26.962962962963,9.24909574970881,0.343029650057882,0.120425037953464,0.00290943456550335,-194,392,3.39913785085274,30.0400467726262,-195.8,396,402.320250634978,"Gomp"
"M13",70,0.00422120624750339,33.8532852897194,6.03769336990373,0.148809586035468,"rls/M13.csv",27.4142857142857,7.52097137023981,0.274344969211457,0.147660400310855,0.00157267301863355,-238.5,481,4.25247111320216,30.0435987076533,-240.2,484,499.953442472214,"Gomp"
"M14",60,0.00340212543563471,59.0645627821238,7.41785903307345,0.108658368584688,"rls/M14.csv",32.75,13.1814263264641,0.402486300044704,0.0845191892886794,0.00336616696900825,-235.6,475,2.83413079940545,36.867855027226,-238.4,481,479.748582965309,"Gomp"
"M2-8",105,0.00269440712904691,36.6421200778848,7.9122351596924,0.188641791059035,"rls/M2-8.csv",24.8857142857143,7.31609695980546,0.293987822724674,0.134833976303519,0.00303218534917099,-361.5,727,3.83250575356976,27.5113247242551,-357.2,718,727.033606687137,"Gomp"
"M22",60,0.0022898333001123,34.9686448196767,6.02421941424872,0.143677841682375,"rls/M22.csv",34.9666666666667,7.94891884060111,0.22732847017925,0.142961888933528,0.000562262812431903,-209.1,422,5.19890752396739,38.0893799651123,-208,420,443.613603965212,"Gomp"
"M32",60,0.00174899962660921,34.1338689175643,7.73583201616767,0.197335732214686,"rls/M32.csv",27.7833333333333,6.64624697630599,0.239217047737468,0.145119077585022,0.00160505898769504,-204.2,412,4.51666794495106,30.424353979163,-199.4,403,414.467913409349,"Gomp"
"M34",58,0.00344254864689099,29.4488425545695,6.03269464219933,0.170896178105255,"rls/M34.csv",26.6034482758621,7.98230423394414,0.300047728819676,0.169741469799271,0.00103274495967147,-194.9,394,4.11399368199435,29.2768971285841,-201.8,408,412.507565961031,"Gomp"
"M5",166,0.00341974725341801,75.892905088306,7.82077176229173,0.0898736417370682,"rls/M5.csv",36.9397590361446,13.6296018284538,0.368968346954228,0.0657139593884698,0.00412815555945836,-674.4,1353,2.99821655600372,41.4324327164752,-666.2,1336,1349.3404441219,"Binom"
"M8",60,0.00124735449900627,24.7414490199256,6.01580942958746,0.202729008537372,"rls/M8.csv",34.6,5.77898002847315,0.167022544175525,0.202030881155273,0.000107259461912498,-189,382,7.17461816022352,36.9474448265894,-188.4,381,419.059828479862,"Gomp"
"RM112N",59,0.00247675742557279,53.3026342841554,6.02277091095342,0.0942311947318987,"rls/RM112N.csv",44.4067796610169,12.5699678271168,0.283064160992325,0.0937991463433529,0.000851651323769762,-230.3,465,4.21484154778386,48.9436283118242,-231.5,467,480.498236486902,"Gomp"
"S288c",41,0.00448692228032451,38.8677686146266,6.03752948746151,0.1296068610835,"rls/S288c.csv",29.3170731707317,8.01073974234042,0.273244866419265,0.128628661561197,0.00184278828603741,-144.5,293,4.16616694084755,32.2795970593581,-142.8,290,302.958547378686,"Gomp"
"SGU57",58,0.00574050615725251,47.4033175734266,7.93034911091567,0.146199664193982,"rls/SGU57.csv",21.8793103448276,8.92282227833595,0.40782008837154,0.105115916641668,0.00751396988482098,-208.3,421,2.66555331434754,24.5329174839044,-209.2,422,421.926281055287,"Gomp"
"YPS128",69,0.0019807242760482,41.0957105796252,6.88905260126681,0.143300907033994,"rls/YPS128.csv",35.4782608695652,9.40370498894885,0.265055410227725,0.121168444894269,0.000976206917618182,-250.7,505,4.4701643039109,38.9332669616872,-250.9,506,517.391091498141,"Gomp"
"YPS163",130,0.00197173060684855,38.6622469286654,6.85389176318751,0.151411059320695,"rls/YPS163.csv",34.2769230769231,9.08275082517276,0.264981509711055,0.128223810386483,0.000934367397356412,-465.5,935,4.55290530108607,37.5908307499293,-467.6,939,958.448213966898,"Gomp"
